date,1 MO,3 MO,6 MO,1 YR,2 YR,3 YR,5 YR,7 YR,10 YR,20 YR,30 YR
1994-02-04,,0.09999999999999964,0.1200000000000001,0.10999999999999988,0.13999999999999968,0.15000000000000036,0.15000000000000036,0.13999999999999968,0.13000000000000078,0.11000000000000032,0.0600000000000005
1994-03-22,,-0.10000000000000009,-0.07999999999999963,-0.08000000000000007,-0.05999999999999961,-0.11000000000000032,-0.11000000000000032,-0.1200000000000001,-0.10999999999999943,-0.08999999999999986,-0.09000000000000075
1994-04-18,,0.1599999999999997,0.1899999999999995,0.17999999999999972,0.1900000000000004,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.16999999999999993,0.1299999999999999,0.1200000000000001
1994-05-17,,-0.009999999999999787,-0.10000000000000053,-0.1200000000000001,-0.15000000000000036,-0.16999999999999993,-0.1899999999999995,-0.23000000000000043,-0.20999999999999996,-0.1900000000000004,-0.1900000000000004
1994-08-16,,0.020000000000000462,-0.020000000000000462,-0.019999999999999574,-0.04999999999999982,-0.0600000000000005,-0.09999999999999964,-0.1200000000000001,-0.10999999999999943,-0.1200000000000001,-0.1200000000000001
1994-11-15,,0.07000000000000028,0.0600000000000005,0.05999999999999961,0.040000000000000036,0.040000000000000036,0.03000000000000025,-0.019999999999999574,-0.020000000000000462,-0.049999999999998934,-0.03999999999999915
1995-02-01,,0.07000000000000028,0.08999999999999986,0.1299999999999999,0.07000000000000028,0.05000000000000071,0.019999999999999574,0.07000000000000028,0.0600000000000005,0.040000000000000036,0.040000000000000036
1995-07-06,,-0.14999999999999947,-0.1900000000000004,-0.1900000000000004,-0.22000000000000064,-0.20000000000000018,-0.20000000000000018,-0.15000000000000036,-0.14000000000000057,-0.10999999999999943,-0.10000000000000053
1995-12-19,,-0.08000000000000007,-0.09000000000000075,-0.09999999999999964,-0.0699999999999994,-0.05999999999999961,-0.08000000000000007,-0.05999999999999961,-0.040000000000000036,-0.04999999999999982,-0.0600000000000005
1996-01-31,,-0.08999999999999986,-0.08000000000000007,-0.08000000000000007,-0.08999999999999986,-0.07000000000000028,-0.04999999999999982,-0.04999999999999982,-0.03000000000000025,-0.009999999999999787,-0.009999999999999787
1997-03-25,,0.040000000000000036,0.04999999999999982,0.040000000000000036,0.040000000000000036,0.03000000000000025,0.04999999999999982,0.02999999999999936,0.03000000000000025,0.010000000000000675,0.009999999999999787
1998-09-29,,-0.019999999999999574,0.02999999999999936,0.0,0.019999999999999574,-0.009999999999999787,0.0,-0.010000000000000675,-0.020000000000000462,-0.040000000000000036,-0.05000000000000071
1998-10-15,,0.13000000000000078,0.0699999999999994,0.05999999999999961,0.04999999999999982,0.019999999999999574,0.0,-0.020000000000000462,0.0,0.020000000000000462,0.019999999999999574
1999-05-18,,-0.04999999999999982,0.0,0.019999999999999574,0.07000000000000028,0.05999999999999961,0.04999999999999982,0.040000000000000036,0.019999999999999574,-0.009999999999999787,-0.009999999999999787
1999-06-30,,-0.05999999999999961,-0.08999999999999986,-0.09999999999999964,-0.14999999999999947,-0.16000000000000014,-0.16999999999999993,-0.15000000000000036,-0.1200000000000001,-0.08999999999999986,-0.08999999999999986
1999-08-24,,-0.019999999999999574,-0.04999999999999982,-0.03000000000000025,-0.009999999999999787,-0.020000000000000462,-0.05999999999999961,-0.05000000000000071,-0.040000000000000036,-0.03000000000000025,-0.03000000000000025
1999-10-05,,-0.009999999999999787,0.020000000000000462,0.0600000000000005,0.08000000000000007,0.08000000000000007,0.09000000000000075,0.08999999999999986,0.0699999999999994,0.08000000000000007,0.07000000000000028
1999-11-16,,0.0,0.0,0.03000000000000025,0.05999999999999961,0.04999999999999982,0.040000000000000036,0.02999999999999936,0.02999999999999936,0.03000000000000025,0.019999999999999574
1999-12-21,,-0.040000000000000036,-0.040000000000000036,-0.020000000000000462,0.0,0.019999999999999574,0.009999999999999787,0.009999999999999787,0.019999999999999574,0.020000000000000462,0.019999999999999574
2000-02-02,,-0.04999999999999982,-0.009999999999999787,-0.05999999999999961,0.03000000000000025,0.03000000000000025,0.010000000000000675,0.0,-0.020000000000000462,-0.04999999999999982,-0.10999999999999943
2000-03-21,,-0.040000000000000036,-0.040000000000000036,-0.010000000000000675,-0.019999999999999574,-0.019999999999999574,-0.009999999999999787,-0.05000000000000071,-0.04999999999999982,-0.02999999999999936,-0.020000000000000462
2000-05-16,,-0.04999999999999982,-0.019999999999999574,-0.010000000000000675,0.009999999999999787,0.019999999999999574,-0.010000000000000675,-0.02999999999999936,-0.040000000000000036,-0.040000000000000036,-0.04999999999999982
2000-06-28,,-0.020000000000000462,-0.010000000000000675,-0.020000000000000462,-0.07000000000000028,-0.04999999999999982,-0.009999999999999787,0.0,0.010000000000000675,0.020000000000000462,0.019999999999999574
2000-08-22,,-0.019999999999999574,-0.019999999999999574,0.0,-0.010000000000000675,-0.020000000000000462,-0.02999999999999936,-0.009999999999999787,-0.009999999999999787,-0.009999999999999787,0.0
2000-10-03,,-0.02999999999999936,-0.009999999999999787,0.010000000000000675,0.019999999999999574,0.03000000000000025,0.019999999999999574,0.040000000000000036,0.040000000000000036,0.020000000000000462,0.010000000000000675
2000-11-15,,0.009999999999999787,0.0,-0.010000000000000675,-0.019999999999999574,-0.020000000000000462,-0.02999999999999936,-0.02999999999999936,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036
2000-12-19,,-0.020000000000000462,-0.010000000000000675,0.0,0.019999999999999574,0.020000000000000462,0.020000000000000462,0.02999999999999936,0.020000000000000462,0.020000000000000462,0.02999999999999936
