"begdate","enddate","pressconf","scheduled","document","url"
1944-02-29,1944-02-29,0,1,"Record of Policy Actions (259 KB PDF)","/monetarypolicy/files/fomcropa19440229.pdf"
1944-03-01,1944-03-01,0,1,"Record of Policy Actions (264 KB PDF)","/monetarypolicy/files/fomcropa19440301.pdf"
1944-05-04,1944-05-04,0,1,"Record of Policy Actions (255 KB PDF)","/monetarypolicy/files/fomcropa19440504.pdf"
1944-09-21,1944-09-22,0,1,"Record of Policy Actions (126 KB PDF)","/monetarypolicy/files/fomcropa19440921.pdf"
1944-12-11,1944-12-11,0,1,"Record of Policy Actions (125 KB PDF)","/monetarypolicy/files/fomcropa19441211.pdf"
1945-02-28,1945-02-28,0,1,"Historical Minutes (201 KB PDF)","/monetarypolicy/files/FOMChistmin19450228.pdf"
1945-03-01,1945-03-01,0,1,"Record of Policy Actions (127 KB PDF)","/monetarypolicy/files/fomcropa19450301.pdf"
1945-06-20,1945-06-20,0,1,"Record of Policy Actions (244 KB PDF)","/monetarypolicy/files/fomcropa19450620.pdf"
1945-10-17,1945-10-17,0,1,"Record of Policy Actions (132 KB PDF)","/monetarypolicy/files/fomcropa19451017.pdf"
1946-02-28,1946-02-28,0,1,"Historical Minutes (223 KB PDF)","/monetarypolicy/files/FOMChistmin19460228.pdf"
1946-03-01,1946-03-01,0,1,"Record of Policy Actions (243 KB PDF)","/monetarypolicy/files/fomcropa19460301.pdf"
1946-06-10,1946-06-10,0,1,"Record of Policy Actions (242 KB PDF)","/monetarypolicy/files/fomcropa19460610.pdf"
1946-10-03,1946-10-03,0,1,"Record of Policy Actions (116 KB PDF)","/monetarypolicy/files/fomcropa19461003.pdf"
1947-02-27,1947-02-28,0,1,"Historical Minutes (727 KB PDF)","/monetarypolicy/files/FOMChistmin19470228.pdf"
1947-03-01,1947-03-01,0,1,"Record of Policy Actions (130 KB PDF)","/monetarypolicy/files/fomcropa19470301.pdf"
