"begdate","enddate","pressconf","scheduled","document","url"
1961-01-10,1961-01-10,0,1,"Record of Policy Actions (262 KB PDF)","/monetarypolicy/files/fomcropa19610110.pdf"
1961-01-24,1961-01-24,0,1,"Record of Policy Actions (161 KB PDF)","/monetarypolicy/files/fomcropa19610124.pdf"
1961-02-07,1961-02-07,0,1,"Record of Policy Actions (447 KB PDF)","/monetarypolicy/files/fomcropa19610207.pdf"
1961-03-07,1961-03-07,0,1,"Record of Policy Actions (533 KB PDF)","/monetarypolicy/files/fomcropa19610307.pdf"
1961-03-28,1961-03-28,0,1,"Record of Policy Actions (354 KB PDF)","/monetarypolicy/files/fomcropa19610328.pdf"
1961-04-18,1961-04-18,0,1,"Record of Policy Actions (344 KB PDF)","/monetarypolicy/files/fomcropa19610418.pdf"
1961-05-09,1961-05-09,0,1,"Record of Policy Actions (353 KB PDF)","/monetarypolicy/files/fomcropa19610509.pdf"
1961-06-06,1961-06-06,0,1,"Record of Policy Actions (256 KB PDF)","/monetarypolicy/files/fomcropa19610606.pdf"
1961-06-20,1961-06-20,0,1,"Record of Policy Actions (247 KB PDF)","/monetarypolicy/files/fomcropa19610620.pdf"
1961-07-11,1961-07-11,0,1,"Record of Policy Actions (337 KB PDF)","/monetarypolicy/files/fomcropa19610711.pdf"
1961-08-01,1961-08-01,0,1,"Record of Policy Actions (243 KB PDF)","/monetarypolicy/files/fomcropa19610801.pdf"
1961-08-22,1961-08-22,0,1,"Record of Policy Actions (348 KB PDF)","/monetarypolicy/files/fomcropa19610822.pdf"
1961-09-12,1961-09-12,0,1,"Record of Policy Actions (246 KB PDF)","/monetarypolicy/files/fomcropa19610912.pdf"
1961-10-03,1961-10-03,0,1,"Record of Policy Actions (245 KB PDF)","/monetarypolicy/files/fomcropa19611003.pdf"
1961-10-24,1961-10-24,0,1,"Record of Policy Actions (247 KB PDF)","/monetarypolicy/files/fomcropa19611024.pdf"
1961-11-14,1961-11-14,0,1,"Record of Policy Actions (343 KB PDF)","/monetarypolicy/files/fomcropa19611114.pdf"
1961-12-05,1961-12-05,0,1,"Record of Policy Actions (248 KB PDF)","/monetarypolicy/files/fomcropa19611205.pdf"
1961-12-19,1961-12-19,0,1,"Record of Policy Actions (646 KB PDF)","/monetarypolicy/files/fomcropa19611219.pdf"
1962-01-09,1962-01-09,0,1,"Record of Policy Actions (429 KB PDF)","/monetarypolicy/files/fomcropa19620109.pdf"
1962-01-23,1962-01-23,0,1,"Record of Policy Actions (334 KB PDF)","/monetarypolicy/files/fomcropa19620123.pdf"
1962-02-13,1962-02-13,0,1,"Record of Policy Actions (699 KB PDF)","/monetarypolicy/files/fomcropa19620213.pdf"
1962-03-06,1962-03-06,0,1,"Record of Policy Actions (528 KB PDF)","/monetarypolicy/files/fomcropa19620306.pdf"
1962-03-27,1962-03-27,0,1,"Record of Policy Actions (338 KB PDF)","/monetarypolicy/files/fomcropa19620327.pdf"
1962-04-17,1962-04-17,0,1,"Record of Policy Actions (428 KB PDF)","/monetarypolicy/files/fomcropa19620417.pdf"
1962-05-08,1962-05-08,0,1,"Record of Policy Actions (328 KB PDF)","/monetarypolicy/files/fomcropa19620508.pdf"
1962-05-29,1962-05-29,0,1,"Record of Policy Actions (324 KB PDF)","/monetarypolicy/files/fomcropa19620529.pdf"
1962-06-19,1962-06-19,0,1,"Record of Policy Actions (405 KB PDF)","/monetarypolicy/files/fomcropa19620619.pdf"
1962-06-21,1962-06-21,0,0,"Record of Policy Actions (229 KB PDF)","/monetarypolicy/files/fomcropa19620621.pdf"
1962-07-10,1962-07-10,0,1,"Record of Policy Actions (409 KB PDF)","/monetarypolicy/files/fomcropa19620710.pdf"
1962-07-31,1962-07-31,0,1,"Record of Policy Actions (426 KB PDF)","/monetarypolicy/files/fomcropa19620731.pdf"
1962-08-21,1962-08-21,0,1,"Record of Policy Actions (337 KB PDF)","/monetarypolicy/files/fomcropa19620821.pdf"
1962-09-11,1962-09-11,0,1,"Record of Policy Actions (336 KB PDF)","/monetarypolicy/files/fomcropa19620911.pdf"
1962-10-02,1962-10-02,0,1,"Record of Policy Actions (422 KB PDF)","/monetarypolicy/files/fomcropa19621002.pdf"
1962-10-23,1962-10-23,0,1,"Record of Policy Actions (325 KB PDF)","/monetarypolicy/files/fomcropa19621023.pdf"
1962-11-13,1962-11-13,0,1,"Record of Policy Actions (423 KB PDF)","/monetarypolicy/files/fomcropa19621113.pdf"
1962-12-04,1962-12-04,0,1,"Record of Policy Actions (323 KB PDF)","/monetarypolicy/files/fomcropa19621204.pdf"
1962-12-18,1962-12-18,0,1,"Record of Policy Actions (370 KB PDF)","/monetarypolicy/files/fomcropa19621218.pdf"
1963-01-08,1963-01-08,0,1,"Record of Policy Actions (310 KB PDF)","/monetarypolicy/files/fomcropa19630108.pdf"
1963-01-29,1963-01-29,0,1,"Record of Policy Actions (314 KB PDF)","/monetarypolicy/files/fomcropa19630129.pdf"
1963-02-12,1963-02-12,0,1,"Record of Policy Actions (240 KB PDF)","/monetarypolicy/files/fomcropa19630212.pdf"
1963-03-05,1963-03-05,0,1,"Record of Policy Actions (313 KB PDF)","/monetarypolicy/files/fomcropa19630305.pdf"
1963-03-26,1963-03-26,0,1,"Record of Policy Actions (316 KB PDF)","/monetarypolicy/files/fomcropa19630326.pdf"
1963-04-16,1963-04-16,0,1,"Record of Policy Actions (237 KB PDF)","/monetarypolicy/files/fomcropa19630416.pdf"
1963-05-07,1963-05-07,0,1,"Record of Policy Actions (245 KB PDF)","/monetarypolicy/files/fomcropa19630507.pdf"
1963-05-28,1963-05-28,0,1,"Record of Policy Actions (413 KB PDF)","/monetarypolicy/files/fomcropa19630528.pdf"
1963-06-18,1963-06-18,0,1,"Record of Policy Actions (237 KB PDF)","/monetarypolicy/files/fomcropa19630618.pdf"
1963-07-09,1963-07-09,0,1,"Record of Policy Actions (332 KB PDF)","/monetarypolicy/files/fomcropa19630709.pdf"
1963-07-30,1963-07-30,0,1,"Record of Policy Actions (328 KB PDF)","/monetarypolicy/files/fomcropa19630730.pdf"
1963-08-20,1963-08-20,0,1,"Record of Policy Actions (237 KB PDF)","/monetarypolicy/files/fomcropa19630820.pdf"
1963-09-10,1963-09-10,0,1,"Record of Policy Actions (316 KB PDF)","/monetarypolicy/files/fomcropa19630910.pdf"
1963-10-01,1963-10-01,0,1,"Record of Policy Actions (393 KB PDF)","/monetarypolicy/files/fomcropa19631001.pdf"
1963-10-22,1963-10-22,0,1,"Record of Policy Actions (318 KB PDF)","/monetarypolicy/files/fomcropa19631022.pdf"
1963-11-12,1963-11-12,0,1,"Record of Policy Actions (405 KB PDF)","/monetarypolicy/files/fomcropa19631112.pdf"
1963-11-26,1963-11-26,0,0,"Record of Policy Actions (153 KB PDF)","/monetarypolicy/files/fomcropa19631126.pdf"
1963-12-03,1963-12-03,0,1,"Record of Policy Actions (316 KB PDF)","/monetarypolicy/files/fomcropa19631203.pdf"
1963-12-17,1963-12-17,0,1,"Record of Policy Actions (225 KB PDF)","/monetarypolicy/files/fomcropa19631217.pdf"
1964-01-07,1964-01-07,0,1,"Record of Policy Actions (316 KB PDF)","/monetarypolicy/files/fomcropa19640107.pdf"
1964-01-28,1964-01-28,0,1,"Record of Policy Actions (230 KB PDF)","/monetarypolicy/files/fomcropa19640128.pdf"
1964-02-11,1964-02-11,0,1,"Record of Policy Actions (324 KB PDF)","/monetarypolicy/files/fomcropa19640211.pdf"
1964-03-03,1964-03-03,0,1,"Record of Policy Actions (416 KB PDF)","/monetarypolicy/files/fomcropa19640303.pdf"
1964-03-24,1964-03-24,0,1,"Record of Policy Actions (237 KB PDF)","/monetarypolicy/files/fomcropa19640324.pdf"
1964-04-14,1964-04-14,0,1,"Record of Policy Actions (242 KB PDF)","/monetarypolicy/files/fomcropa19640414.pdf"
1964-05-05,1964-05-05,0,1,"Record of Policy Actions (236 KB PDF)","/monetarypolicy/files/fomcropa19640505.pdf"
1964-05-26,1964-05-26,0,1,"Record of Policy Actions (233 KB PDF)","/monetarypolicy/files/fomcropa19640526.pdf"
1964-06-17,1964-06-17,0,1,"Record of Policy Actions (331 KB PDF)","/monetarypolicy/files/fomcropa19640617.pdf"
1964-07-07,1964-07-07,0,1,"Record of Policy Actions (236 KB PDF)","/monetarypolicy/files/fomcropa19640707.pdf"
1964-07-28,1964-07-28,0,1,"Record of Policy Actions (236 KB PDF)","/monetarypolicy/files/fomcropa19640728.pdf"
1964-08-18,1964-08-18,0,1,"Record of Policy Actions (336 KB PDF)","/monetarypolicy/files/fomcropa19640818.pdf"
1964-09-08,1964-09-08,0,1,"Record of Policy Actions (236 KB PDF)","/monetarypolicy/files/fomcropa19640908.pdf"
1964-09-29,1964-09-29,0,1,"Record of Policy Actions (324 KB PDF)","/monetarypolicy/files/fomcropa19640929.pdf"
1964-10-20,1964-10-20,0,1,"Record of Policy Actions (383 KB PDF)","/monetarypolicy/files/fomcropa19641020.pdf"
1964-11-10,1964-11-10,0,1,"Record of Policy Actions (302 KB PDF)","/monetarypolicy/files/fomcropa19641110.pdf"
1964-11-24,1964-11-24,0,0,"Record of Policy Actions (217 KB PDF)","/monetarypolicy/files/fomcropa19641124.pdf"
1964-12-01,1964-12-01,0,1,"Record of Policy Actions (238 KB PDF)","/monetarypolicy/files/fomcropa19641201.pdf"
1964-12-15,1964-12-15,0,1,"Record of Policy Actions (338 KB PDF)","/monetarypolicy/files/fomcropa19641215.pdf"
1965-01-12,1965-01-12,0,1,"Record of Policy Actions (300 KB PDF)","/monetarypolicy/files/fomcropa19650112.pdf"
1965-02-02,1965-02-02,0,1,"Record of Policy Actions (304 KB PDF)","/monetarypolicy/files/fomcropa19650202.pdf"
1965-03-02,1965-03-02,0,1,"Record of Policy Actions (485 KB PDF)","/monetarypolicy/files/fomcropa19650302.pdf"
1965-03-23,1965-03-23,0,1,"Record of Policy Actions (391 KB PDF)","/monetarypolicy/files/fomcropa19650323.pdf"
1965-04-13,1965-04-13,0,1,"Record of Policy Actions (224 KB PDF)","/monetarypolicy/files/fomcropa19650413.pdf"
1965-05-11,1965-05-11,0,1,"Record of Policy Actions (314 KB PDF)","/monetarypolicy/files/fomcropa19650511.pdf"
1965-05-25,1965-05-25,0,1,"Record of Policy Actions (232 KB PDF)","/monetarypolicy/files/fomcropa19650525.pdf"
1965-06-15,1965-06-15,0,1,"Record of Policy Actions (323 KB PDF)","/monetarypolicy/files/fomcropa19650615.pdf"
1965-07-13,1965-07-13,0,1,"Record of Policy Actions (316 KB PDF)","/monetarypolicy/files/fomcropa19650713.pdf"
1965-08-10,1965-08-10,0,1,"Record of Policy Actions (300 KB PDF)","/monetarypolicy/files/fomcropa19650810.pdf"
1965-08-31,1965-08-31,0,1,"Record of Policy Actions (295 KB PDF)","/monetarypolicy/files/fomcropa19650831.pdf"
1965-09-08,1965-09-08,0,0,"Record of Policy Actions (128 KB PDF)","/monetarypolicy/files/fomcropa19650908.pdf"
1965-09-28,1965-09-28,0,1,"Record of Policy Actions (379 KB PDF)","/monetarypolicy/files/fomcropa19650928.pdf"
1965-10-12,1965-10-12,0,1,"Record of Policy Actions (312 KB PDF)","/monetarypolicy/files/fomcropa19651012.pdf"
1965-11-02,1965-11-02,0,1,"Record of Policy Actions (225 KB PDF)","/monetarypolicy/files/fomcropa19651102.pdf"
1965-11-04,1965-11-04,0,0,"Record of Policy Actions: see November 23, 1965 Record",NA
1965-11-23,1965-11-23,0,1,"Record of Policy Actions (408 KB PDF)","/monetarypolicy/files/fomcropa19651123.pdf"
1965-12-14,1965-12-14,0,1,"Record of Policy Actions (318 KB PDF)","/monetarypolicy/files/fomcropa19651214.pdf"
1966-01-11,1966-01-11,0,1,"Record of Policy Actions (381 KB PDF)","/monetarypolicy/files/fomcropa19660111.pdf"
1966-02-08,1966-02-08,0,1,"Record of Policy Actions (378 KB PDF)","/monetarypolicy/files/fomcropa19660208.pdf"
1966-03-01,1966-03-01,0,1,"Record of Policy Actions (364 KB PDF)","/monetarypolicy/files/fomcropa19660301.pdf"
1966-03-22,1966-03-22,0,1,"Record of Policy Actions (364 KB PDF)","/monetarypolicy/files/fomcropa19660322.pdf"
1966-04-12,1966-04-12,0,1,"Record of Policy Actions (360 KB PDF)","/monetarypolicy/files/fomcropa19660412.pdf"
1966-05-10,1966-05-10,0,1,"Record of Policy Actions (460 KB PDF)","/monetarypolicy/files/fomcropa19660510.pdf"
1966-06-07,1966-06-07,0,1,"Record of Policy Actions (633 KB PDF)","/monetarypolicy/files/fomcropa19660607.pdf"
1966-06-28,1966-06-28,0,1,"Record of Policy Actions (467 KB PDF)","/monetarypolicy/files/fomcropa19660628.pdf"
1966-07-11,1966-07-11,0,0,"Record of Policy Actions: see July 26, 1966 Record",NA
1966-07-26,1966-07-26,0,1,"Record of Policy Actions (375 KB PDF)","/monetarypolicy/files/fomcropa19660726.pdf"
1966-08-23,1966-08-23,0,1,"Record of Policy Actions (485 KB PDF)","/monetarypolicy/files/fomcropa19660823.pdf"
1966-09-13,1966-09-13,0,1,"Record of Policy Actions (454 KB PDF)","/monetarypolicy/files/fomcropa19660913.pdf"
1966-10-04,1966-10-04,0,1,"Record of Policy Actions (357 KB PDF)","/monetarypolicy/files/fomcropa19661004.pdf"
1966-11-01,1966-11-01,0,1,"Record of Policy Actions (474 KB PDF)","/monetarypolicy/files/fomcropa19661101.pdf"
1966-11-22,1966-11-22,0,1,"Record of Policy Actions (371 KB PDF)","/monetarypolicy/files/fomcropa19661122.pdf"
1966-12-13,1966-12-13,0,1,"Record of Policy Actions (439 KB PDF)","/monetarypolicy/files/fomcropa19661213.pdf"
1967-01-10,1967-01-10,0,1,"Record of Policy Actions (2.09 MB PDF)","/monetarypolicy/files/fomcropa19670110.pdf"
1967-02-07,1967-02-07,0,1,"Record of Policy Actions (2.09 MB PDF)","/monetarypolicy/files/fomcropa19670207.pdf"
1967-03-07,1967-03-07,0,1,"Record of Policy Actions (2.09 MB PDF)","/monetarypolicy/files/fomcropa19670307.pdf"
1967-04-04,1967-04-04,0,1,"Record of Policy Actions (2.09 MB PDF)","/monetarypolicy/files/fomcropa19670404.pdf"
1967-05-02,1967-05-02,0,1,"Record of Policy Actions (322 KB PDF)","/monetarypolicy/files/fomcropa19670502.pdf"
1967-05-23,1967-05-23,0,1,"Record of Policy Actions (430 KB PDF)","/monetarypolicy/files/fomcropa19670523.pdf"
1967-06-20,1967-06-20,0,1,"Record of Policy Actions (365 KB PDF)","/monetarypolicy/files/fomcropa19670620.pdf"
1967-07-18,1967-07-18,0,1,"Record of Policy Actions (518 KB PDF)","/monetarypolicy/files/fomcropa19670718.pdf"
1967-08-15,1967-08-15,0,1,"Record of Policy Actions (351 KB PDF)","/monetarypolicy/files/fomcropa19670815.pdf"
1967-09-12,1967-09-12,0,1,"Record of Policy Actions (387 KB PDF)","/monetarypolicy/files/fomcropa19670912.pdf"
1967-10-03,1967-10-03,0,1,"Record of Policy Actions (319 KB PDF)","/monetarypolicy/files/fomcropa19671003.pdf"
1967-10-24,1967-10-24,0,1,"Record of Policy Actions (326 KB PDF)","/monetarypolicy/files/fomcropa19671024.pdf"
1967-11-14,1967-11-14,0,1,"Record of Policy Actions (447 KB PDF)","/monetarypolicy/files/fomcropa19671114.pdf"
1967-11-27,1967-11-27,0,1,"Record of Policy Actions (556 KB PDF)","/monetarypolicy/files/fomcropa19671127.pdf"
1967-12-12,1967-12-12,0,1,"Record of Policy Actions (429 KB PDF)","/monetarypolicy/files/fomcropa19671212.pdf"
1968-01-09,1968-01-09,0,1,"Record of Policy Actions (484 KB PDF)","/monetarypolicy/files/fomcropa19680109.pdf"
1968-02-06,1968-02-06,0,1,"Record of Policy Actions (297 KB PDF)","/monetarypolicy/files/fomcropa19680206.pdf"
1968-03-05,1968-03-05,0,1,"Record of Policy Actions (450 KB PDF)","/monetarypolicy/files/fomcropa19680305.pdf"
1968-03-14,1968-03-14,0,0,"Record of Policy Actions (224 KB PDF)","/monetarypolicy/files/fomcropa19680314.pdf"
1968-04-02,1968-04-02,0,1,"Record of Policy Actions (375 KB PDF)","/monetarypolicy/files/fomcropa19680402.pdf"
1968-04-19,1968-04-19,0,0,"Record of Policy Actions (81 KB PDF)","/monetarypolicy/files/fomcropa19680419.pdf"
1968-04-30,1968-04-30,0,1,"Record of Policy Actions (453 KB PDF)","/monetarypolicy/files/fomcropa19680430.pdf"
1968-05-28,1968-05-28,0,1,"Record of Policy Actions (390 KB PDF)","/monetarypolicy/files/fomcropa19680528.pdf"
1968-06-18,1968-06-18,0,1,"Record of Policy Actions (355 KB PDF)","/monetarypolicy/files/fomcropa19680618.pdf"
1968-07-16,1968-07-16,0,1,"Record of Policy Actions (617 KB PDF)","/monetarypolicy/files/fomcropa19680716.pdf"
1968-08-13,1968-08-13,0,1,"Record of Policy Actions (369 KB PDF)","/monetarypolicy/files/fomcropa19680813.pdf"
1968-08-19,1968-08-19,0,0,"Record of Policy Actions (115 KB PDF)","/monetarypolicy/files/fomcropa19680819.pdf"
1968-09-10,1968-09-10,0,1,"Record of Policy Actions (362 KB PDF)","/monetarypolicy/files/fomcropa19680910.pdf"
1968-10-08,1968-10-08,0,1,"Record of Policy Actions (484 KB PDF)","/monetarypolicy/files/fomcropa19681008.pdf"
1968-10-29,1968-10-29,0,1,"Record of Policy Actions (342 KB PDF)","/monetarypolicy/files/fomcropa19681029.pdf"
1968-11-26,1968-11-26,0,1,"Record of Policy Actions (822 KB PDF)","/monetarypolicy/files/fomcropa19681126.pdf"
1968-12-17,1968-12-17,0,1,"Record of Policy Actions (822 KB PDF)","/monetarypolicy/files/fomcropa19681217.pdf"
1969-01-14,1969-01-14,0,1,"Record of Policy Actions (451 KB PDF)","/monetarypolicy/files/fomcropa19690114.pdf"
1969-02-04,1969-02-04,0,1,"Record of Policy Actions (351 KB PDF)","/monetarypolicy/files/fomcropa19690204.pdf"
1969-03-04,1969-03-04,0,1,"Record of Policy Actions (565 KB PDF)","/monetarypolicy/files/fomcropa19690304.pdf"
1969-04-01,1969-04-01,0,1,"Record of Policy Actions (416 KB PDF)","/monetarypolicy/files/fomcropa19690401.pdf"
1969-04-29,1969-04-29,0,1,"Record of Policy Actions (457 KB PDF)","/monetarypolicy/files/fomcropa19690429.pdf"
1969-05-27,1969-05-27,0,1,"Record of Policy Actions (500 KB PDF)","/monetarypolicy/files/fomcropa19690527.pdf"
1969-06-24,1969-06-24,0,1,"Record of Policy Actions (463 KB PDF)","/monetarypolicy/files/fomcropa19690624.pdf"
1969-07-15,1969-07-15,0,1,"Record of Policy Actions (476 KB PDF)","/monetarypolicy/files/fomcropa19690715.pdf"
1969-08-12,1969-08-12,0,1,"Record of Policy Actions (497 KB PDF)","/monetarypolicy/files/fomcropa19690812.pdf"
1969-09-09,1969-09-09,0,1,"Record of Policy Actions (534 KB PDF)","/monetarypolicy/files/fomcropa19690909.pdf"
1969-10-07,1969-10-07,0,1,"Record of Policy Actions (660 KB PDF)","/monetarypolicy/files/fomcropa19691007.pdf"
1969-10-28,1969-10-28,0,1,"Record of Policy Actions (340 KB PDF)","/monetarypolicy/files/fomcropa19691028.pdf"
1969-11-25,1969-11-25,0,1,"Record of Policy Actions (690 KB PDF)","/monetarypolicy/files/fomcropa19691125.pdf"
1969-12-16,1969-12-16,0,1,"Record of Policy Actions (690 KB PDF)","/monetarypolicy/files/fomcropa19691216.pdf"
1970-01-15,1970-01-15,0,1,"Record of Policy Actions (423 KB PDF)","/monetarypolicy/files/fomcropa19700115.pdf"
1970-02-10,1970-02-10,0,1,"Record of Policy Actions (458 KB PDF)","/monetarypolicy/files/fomcropa19700210.pdf"
1970-03-10,1970-03-10,0,1,"Record of Policy Actions (500 KB PDF)","/monetarypolicy/files/fomcropa19700310.pdf"
1970-04-07,1970-04-07,0,1,"Record of Policy Actions (401 KB PDF)","/monetarypolicy/files/fomcropa19700407.pdf"
1970-05-05,1970-05-05,0,1,"Record of Policy Actions (379 KB PDF)","/monetarypolicy/files/fomcropa19700505.pdf"
1970-05-26,1970-05-26,0,1,"Record of Policy Actions (307 KB PDF)","/monetarypolicy/files/fomcropa19700526.pdf"
1970-06-23,1970-06-23,0,1,"Record of Policy Actions (342 KB PDF)","/monetarypolicy/files/fomcropa19700623.pdf"
1970-07-21,1970-07-21,0,1,"Record of Policy Actions (396 KB PDF)","/monetarypolicy/files/fomcropa19700721.pdf"
1970-08-18,1970-08-18,0,1,"Record of Policy Actions (425 KB PDF)","/monetarypolicy/files/fomcropa19700818.pdf"
1970-09-15,1970-09-15,0,1,"Record of Policy Actions (398 KB PDF)","/monetarypolicy/files/fomcropa19700915.pdf"
1970-10-20,1970-10-20,0,1,"Record of Policy Actions (382 KB PDF)","/monetarypolicy/files/fomcropa19701020.pdf"
1970-11-17,1970-11-17,0,1,"Record of Policy Actions (465 KB PDF)","/monetarypolicy/files/fomcropa19701117.pdf"
1970-12-15,1970-12-15,0,1,"Record of Policy Actions (415 KB PDF)","/monetarypolicy/files/fomcropa19701215.pdf"
1971-01-12,1971-01-12,0,1,"Record of Policy Actions (433 KB PDF)","/monetarypolicy/files/fomcropa19710112.pdf"
1971-02-09,1971-02-09,0,1,"Record of Policy Actions (424 KB PDF)","/monetarypolicy/files/fomcropa19710209.pdf"
1971-03-09,1971-03-09,0,1,"Record of Policy Actions (530 KB PDF)","/monetarypolicy/files/fomcropa19710309.pdf"
1971-04-06,1971-04-06,0,1,"Record of Policy Actions (469 KB PDF)","/monetarypolicy/files/fomcropa19710406.pdf"
1971-05-11,1971-05-11,0,1,"Record of Policy Actions (489 KB PDF)","/monetarypolicy/files/fomcropa19710511.pdf"
1971-06-08,1971-06-08,0,1,"Record of Policy Actions (438 KB PDF)","/monetarypolicy/files/fomcropa19710608.pdf"
1971-06-29,1971-06-29,0,1,"Record of Policy Actions (411 KB PDF)","/monetarypolicy/files/fomcropa19710629.pdf"
1971-07-27,1971-07-27,0,1,"Record of Policy Actions (347 KB PDF)","/monetarypolicy/files/fomcropa19710727.pdf"
1971-08-24,1971-08-24,0,1,"Record of Policy Actions (556 KB PDF)","/monetarypolicy/files/fomcropa19710824.pdf"
1971-09-21,1971-09-21,0,1,"Record of Policy Actions (353 KB PDF)","/monetarypolicy/files/fomcropa19710921.pdf"
1971-10-19,1971-10-19,0,1,"Record of Policy Actions (399 KB PDF)","/monetarypolicy/files/fomcropa19711019.pdf"
1971-11-16,1971-11-16,0,1,"Record of Policy Actions (366 KB PDF)","/monetarypolicy/files/fomcropa19711116.pdf"
1971-12-14,1971-12-14,0,1,"Record of Policy Actions (464 KB PDF)","/monetarypolicy/files/fomcropa19711214.pdf"
1972-01-11,1972-01-11,0,1,"Record of Policy Actions (408 KB PDF)","/monetarypolicy/files/fomcropa19720111.pdf"
1972-02-14,1972-02-14,0,1,"Memoranda of Discussion (1.75 MB PDF)","/monetarypolicy/files/fomcmod19720214.pdf"
1972-02-15,1972-02-15,0,1,"Record of Policy Actions (473 KB PDF)","/monetarypolicy/files/fomcropa19720215.pdf"
1972-03-21,1972-03-21,0,1,"Record of Policy Actions (465 KB PDF)","/monetarypolicy/files/fomcropa19720321.pdf"
1972-04-17,1972-04-17,0,1,"Minutes of Actions (99 KB PDF)","/monetarypolicy/files/fomcmoa19720417.pdf"
1972-04-18,1972-04-18,0,1,"Record of Policy Actions (499 KB PDF)","/monetarypolicy/files/fomcropa19720418.pdf"
1972-05-23,1972-05-23,0,1,"Record of Policy Actions (342 KB PDF)","/monetarypolicy/files/fomcropa19720523.pdf"
1972-06-19,1972-06-20,0,1,"Record of Policy Actions (374 KB PDF)","/monetarypolicy/files/fomcropa19720620.pdf"
1972-07-18,1972-07-18,0,1,"Record of Policy Actions (338 KB PDF)","/monetarypolicy/files/fomcropa19720718.pdf"
1972-08-15,1972-08-15,0,1,"Record of Policy Actions (331 KB PDF)","/monetarypolicy/files/fomcropa19720815.pdf"
1972-09-19,1972-09-19,0,1,"Record of Policy Actions (388 KB PDF)","/monetarypolicy/files/fomcropa19720919.pdf"
1972-10-17,1972-10-17,0,1,"Record of Policy Actions (310 KB PDF)","/monetarypolicy/files/fomcropa19721017.pdf"
1972-11-20,1972-11-21,0,1,"Record of Policy Actions (358 KB PDF)","/monetarypolicy/files/fomcropa19721121.pdf"
1972-12-19,1972-12-19,0,1,"Record of Policy Actions (328 KB PDF)","/monetarypolicy/files/fomcropa19721219.pdf"
1973-01-16,1973-01-16,0,1,"Record of Policy Actions (370 KB PDF)","/monetarypolicy/files/fomcropa19730116.pdf"
1973-02-13,1973-02-13,0,1,"Record of Policy Actions (394 KB PDF)","/monetarypolicy/files/fomcropa19730213.pdf"
1973-03-07,1973-03-07,0,0,"Memoranda of Discussion (625 KB PDF)","/monetarypolicy/files/fomcmod19730307.pdf"
1973-03-19,1973-03-20,0,1,"Record of Policy Actions (577 KB PDF)","/monetarypolicy/files/fomcropa19730320.pdf"
1973-04-17,1973-04-17,0,1,"Record of Policy Actions (425 KB PDF)","/monetarypolicy/files/fomcropa19730417.pdf"
1973-05-15,1973-05-15,0,1,"Record of Policy Actions (392 KB PDF)","/monetarypolicy/files/fomcropa19730515.pdf"
1973-06-18,1973-06-19,0,1,"Record of Policy Actions (520 KB PDF)","/monetarypolicy/files/fomcropa19730619.pdf"
1973-07-09,1973-07-09,0,0,"Minutes of Actions (87 KB PDF)","/monetarypolicy/files/fomcmoa19730709.pdf"
1973-07-17,1973-07-17,0,1,"Record of Policy Actions (407 KB PDF)","/monetarypolicy/files/fomcropa19730717.pdf"
1973-08-21,1973-08-21,0,1,"Record of Policy Actions (401 KB PDF)","/monetarypolicy/files/fomcropa19730821.pdf"
1973-09-18,1973-09-18,0,1,"Record of Policy Actions (489 KB PDF)","/monetarypolicy/files/fomcropa19730918.pdf"
1973-10-02,1973-10-02,0,0,"Record of Policy Actions: see October 16, 1973 Record",NA
1973-10-10,1973-10-10,0,0,"Record of Policy Actions: see October 16, 1973 Record",NA
1973-10-16,1973-10-16,0,1,"Record of Policy Actions (474 KB PDF)","/monetarypolicy/files/fomcropa19731016.pdf"
1973-11-19,1973-11-20,0,1,"Record of Policy Actions (463 KB PDF)","/monetarypolicy/files/fomcropa19731120.pdf"
1973-12-17,1973-12-18,0,1,"Record of Policy Actions (550 KB PDF)","/monetarypolicy/files/fomcropa19731218.pdf"
1974-01-21,1974-01-22,0,1,"Record of Policy Actions (631 KB PDF)","/monetarypolicy/files/fomcropa19740122.pdf"
1974-02-20,1974-02-20,0,1,"Record of Policy Actions (519 KB PDF)","/monetarypolicy/files/fomcropa19740220.pdf"
1974-03-18,1974-03-19,0,1,"Record of Policy Actions (968 KB PDF)","/monetarypolicy/files/fomcropa19740319.pdf"
1974-04-15,1974-04-16,0,1,"Record of Policy Actions (567 KB PDF)","/monetarypolicy/files/fomcropa19740416.pdf"
1974-05-21,1974-05-21,0,1,"Record of Policy Actions (526 KB PDF)","/monetarypolicy/files/fomcropa19740521.pdf"
1974-06-18,1974-06-18,0,1,"Record of Policy Actions (625 KB PDF)","/monetarypolicy/files/fomcropa19740618.pdf"
1974-07-05,1974-07-05,0,0,"Record of Policy Actions: see July 16, 1974 Record",NA
1974-07-16,1974-07-16,0,1,"Record of Policy Actions (737 KB PDF)","/monetarypolicy/files/fomcropa19740716.pdf"
1974-08-20,1974-08-20,0,1,"Record of Policy Actions (480 KB PDF)","/monetarypolicy/files/fomcropa19740820.pdf"
1974-09-10,1974-09-10,0,1,"Record of Policy Actions (519 KB PDF)","/monetarypolicy/files/fomcropa19740910.pdf"
1974-10-14,1974-10-15,0,1,"Record of Policy Actions (579 KB PDF)","/monetarypolicy/files/fomcropa19741015.pdf"
1974-11-19,1974-11-19,0,1,"Record of Policy Actions (512 KB PDF)","/monetarypolicy/files/fomcropa19741119.pdf"
